Timestamp,I agree with the principle of publishing PLDI as an issue of TOPLAS:,The following other conferences should be considered for special issues of TOPLAS:,Publishing papers in journal is expected by my employer:,I have published the following number of papers at PLDI:,I have published the following number of Journal papers:,I choose to publish in Journals for the following reasons:,I would like my papers to be open access:,Seniority,I work in the following country:,I work in an academic institution:,,(inferred field: are you writing journals only if you have to?)
10/13/2014 0:37:10,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,6-10,In part to fulfill expectations of my department and sometimes (less often) when a paper really would benefit from more details.,Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/13/2014 0:43:07,Undecided,"POPL, OOPSLA",No,0,11+,the papers were rejected from conferences so journals are a second best option,Don't care,Senior researcher or Post-tenure academic,New Zealand,Yes,,
10/13/2014 0:45:15,No,,No,2-5,2-5,When I am unable to fit all essential details into a conference paper,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 0:50:58,Yes,"POPL, OOPSLA",No,2-5,6-10,"I do not, but co-authors sometimes submit journal versions because their universities want this",Yes,Senior researcher or Post-tenure academic,UK,No,,1
10/13/2014 0:53:49,Undecided,"POPL, ICFP, OOPSLA",Yes,1,2-5,Livelihood,Yes,Senior researcher or Post-tenure academic,Sweden,Yes,,1
10/13/2014 1:13:41,Yes,"POPL, ICFP, OOPSLA",No,2-5,2-5,long-form writing is nice sometimes,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 1:27:27,Yes,"POPL, ICFP, OOPSLA",No,2-5,1,,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 1:51:14,Yes,"POPL, ICFP, OOPSLA",No,1,2-5,"can submit any time, less unpredictable outcome",Yes,Student or Postdoc,UK ,Yes,,
10/13/2014 2:08:15,Undecided,,No,6-10,1,,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 2:32:21,No,,No,0,1,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 3:22:43,Undecided,,No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 4:03:42,Yes,"POPL, ICFP, OOPSLA",No,2-5,11+,(a) looser length constraints let me say what I mean; (b) (less important) CV fodder,Yes,Senior researcher or Post-tenure academic,UK,Yes,,
10/13/2014 4:26:58,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,more space,Yes,Senior researcher or Post-tenure academic,Netherlands,Yes,,
10/13/2014 5:04:52,Yes,"POPL, ICFP, OOPSLA",No,1,2-5,Offer a venue for publishing well-polished comprehensive work without silly page limits.,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 5:29:20,Undecided,"POPL, OOPSLA",No,0,11+,"For me, the valuable part about journals is the review process, not the badge that says ""journal"".",Yes,Senior researcher or Post-tenure academic,,Yes,,
10/13/2014 5:31:45,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,Prestige; more careful reviewing; more space to present,Yes,Senior researcher or Post-tenure academic,UK,Yes,,
10/13/2014 7:18:58,Undecided,"POPL, ICFP, OOPSLA",Yes,2-5,1,,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 7:31:04,No,,No,6-10,2-5,if there is substantial extension to the conference paper.,Yes,Junior researcher or Pre-tenure academic,,Yes,,
10/13/2014 7:40:26,Yes,"POPL, ICFP, OOPSLA",Yes,1,2-5,"It's the right thing to do! We shouldn't have to express our ideas in {10,12} pages of sigplanconf.cls.",Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 8:40:58,No,,No,6-10,6-10,"""Full versions"" of papers, and extensions of papers that would not make it at top conferences",Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 8:54:10,No,,Yes,1,6-10,archiving larger description of body of work,Yes,Senior researcher or Post-tenure academic,Sweden,Yes,,
10/13/2014 8:56:01,Yes,POPL,Yes,1,1,venue for extended conference publications,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 9:01:48,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,11+,"In my country, conferences do not count in bibliometrics, and bibliometric indicators are crucial for career advancements and funding. In the fight for resources, CS is likely to succumb to other disciplines where journals are considered to be the only respectable publication venues.",Don't care,Senior researcher or Post-tenure academic,Italy,Yes,,1
10/13/2014 9:08:06,Yes,"POPL, ICFP, OOPSLA",No,0,2-5,,Yes,Senior researcher or Post-tenure academic,UK,Yes,,
10/13/2014 9:13:43,Yes,"POPL, OOPSLA",Yes,2-5,11+,"longer papers, checking a box that others may expect on my resume",Yes,Senior researcher or Post-tenure academic,,Yes,,1
10/13/2014 9:28:18,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,My employer prefers journals. ,Yes,Junior researcher or Pre-tenure academic,South Korea,Yes,,1
10/13/2014 9:34:45,Yes,OOPSLA,Yes,1,0,"Journals receive a higher score in the evaluation from the Ministry, no matter how good a conference is",Don't care,Student or Postdoc,Italy,Yes,,1
10/13/2014 9:34:54,No,,No,2-5,2-5,"the proposed change seems dangerous and silly, why devalue the pldi publication? ",Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 9:38:48,Yes,"POPL, ICFP, OOPSLA",No,2-5,2-5,,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 10:04:40,Yes,"POPL, OOPSLA",No,2-5,0,,Yes,Student or Postdoc,Switzerland,Yes,,
10/13/2014 10:07:35,No,,No,1,6-10,retrospective. archival. more space.,Yes,Junior researcher or Pre-tenure academic,,Yes,,
10/13/2014 10:24:30,Yes,"POPL, ICFP, OOPSLA",Yes,0,6-10,"Computer Science is very small at my institution, and journals are respected across disciplines.",Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/13/2014 10:27:37,No,,No,1,6-10,"was invited after conference. I stopped doing that, it is a waste of time",Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 10:36:37,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,1,Venue for extended version of conference paper,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 10:40:30,Yes,"POPL, ICFP, OOPSLA",No,2-5,11+,"Complete the previously published work, publish work for the first time when not a good fit for a conference (e.g., required pages too long)",Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 10:41:31,Undecided,"POPL, ICFP, OOPSLA",Yes,1,2-5,To present archival and final version of work.,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 10:41:37,Yes,OOPSLA,Yes,2-5,6-10,,Yes,Senior researcher or Post-tenure academic,,Yes,,
10/13/2014 10:47:26,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,"As the work can be described in more detail, intricacies, nuances, and all to help the reader easily understand, replicate, and deconstruct the contribution and enable future developments. ",Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 10:48:12,Yes,"POPL, ICFP, OOPSLA",Yes,0,1,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 10:48:23,Yes,"POPL, ICFP",No,0,0,Sufficient length to tutor readers in the basics of the other field; better feedback,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 10:49:57,Yes,"POPL, ICFP, OOPSLA",No,6-10,2-5,I don't,Yes,Senior researcher or Post-tenure academic,Switzerland,Yes,,
10/13/2014 10:50:55,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,most important evaluation criteria for research funding in South America,Yes,Senior researcher or Post-tenure academic,Chile,Yes,,1
10/13/2014 10:51:47,Yes,POPL,No,0,2-5,,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/13/2014 10:54:28,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,11+,"because I have to,  not because I think it is worthwhile",Yes,Senior researcher or Post-tenure academic,Canada,Yes,,1
10/13/2014 10:55:03,Yes,"POPL, ICFP, OOPSLA",No,2-5,1,,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 11:03:06,Undecided,,No,6-10,6-10,"A comprehensive paper about a multi-year research project, summarizing several conference papers, adding new experiments, etc.",Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 11:08:30,Yes,"POPL, ICFP, OOPSLA",No,6-10,1,,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 11:11:35,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,"Archival recording of results, acceptance by University administration",Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/13/2014 11:13:44,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,Required by my employer,Yes,Junior researcher or Pre-tenure academic,,Yes,,1
10/13/2014 11:15:06,Yes,"POPL, ICFP, OOPSLA",Yes,0,6-10,cv,Yes,Junior researcher or Pre-tenure academic,Belgium,Yes,,1
10/13/2014 11:25:28,Undecided,"POPL, ICFP, OOPSLA",No,6-10,2-5,I stopped a while ago.,Don't care,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 11:37:40,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,Expected by university promotion committees (both for me and for my students and postdocs).  And it's the way ideas get really polished and finished.,Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/13/2014 11:55:28,Yes,POPL,Yes,2-5,6-10,publication record of the university,Yes,Senior researcher or Post-tenure academic,Germany,Yes,,1
10/13/2014 12:00:55,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,Due to my employer's requirements,Don't care,Student or Postdoc,Chile,No,,1
10/13/2014 12:12:55,Yes,"POPL, ICFP, OOPSLA",Yes,1,2-5,,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 12:21:29,Yes,"POPL, ICFP, OOPSLA",No,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 12:24:35,Yes,OOPSLA,Yes,0,1,Incentive structure in academia rewards it,Don't care,Student or Postdoc,USA,Yes,,1
10/13/2014 12:27:28,No,,No,0,11+,"Better, more detailed reviews.  Conversation with the reviewers (revisions).  No page limits.  ",Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 12:28:46,Yes,"POPL, ICFP, OOPSLA",No,2-5,2-5,Better reviews,Yes,Junior researcher or Pre-tenure academic,Germany,Yes,,
10/13/2014 12:30:01,Yes,,Yes,2-5,6-10,,Don't care,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 12:36:01,Yes,"POPL, ICFP, OOPSLA",No,2-5,2-5,Invitations; extended versions.,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 12:43:52,Yes,"POPL, ICFP, OOPSLA",Yes,1,2-5,* archiving with extra details,,,,,,
10/13/2014 12:55:16,Yes,"POPL, ICFP, OOPSLA",,1,0,,Yes,Student or Postdoc,Germany,Yes,,
10/13/2014 13:04:44,Yes,"POPL, ICFP, OOPSLA",No,2-5,0,,Yes,Student or Postdoc,Germany,Yes,,
10/13/2014 13:08:12,Yes,"POPL, ICFP",Yes,1,11+,Required for funding and promotion,Yes,Senior researcher or Post-tenure academic,Belgium,Yes,,1
10/13/2014 13:26:36,Yes,"POPL, OOPSLA",No,,0,,Yes,Student or Postdoc,,Yes,,
10/13/2014 13:31:05,Yes,"POPL, ICFP, OOPSLA",No,0,0,,Yes,Student or Postdoc,USA,No,,
10/13/2014 13:33:21,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,11+,,Yes,Senior researcher or Post-tenure academic,UK,Yes,,
10/13/2014 13:52:06,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,2-5,To meet the expectation of the university,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,1
10/13/2014 14:07:49,Yes,"POPL, ICFP, OOPSLA",No,0,1,,Yes,Student or Postdoc,"Switzerland, USA",Yes,,
10/13/2014 14:07:50,Yes,POPL,No,0,0,,Yes,Student or Postdoc,Switazerland,Yes,,
10/13/2014 14:08:37,No,"POPL, ICFP, OOPSLA",No,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 14:10:03,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,Only because of expectations by colleagues in other domains,Don't care,Senior researcher or Post-tenure academic,Belgium,Yes,,1
10/13/2014 14:14:52,Undecided,,No,2-5,2-5,"don't do it anymore, not relevant to my area",Don't care,Senior researcher or Post-tenure academic,USA,No,,
10/13/2014 14:22:12,Yes,,Yes,2-5,2-5,to submit to the ieee micro top picks special issue solicitation.,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 14:23:24,Yes,"POPL, ICFP, OOPSLA",No,1,0,,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 14:26:00,Yes,"POPL, ICFP, OOPSLA",No,0,2-5,standard practice in other fields,Yes,Student or Postdoc,USA,Yes,,1
10/13/2014 14:27:32,Yes,"POPL, ICFP, OOPSLA",No,,0,,Yes,Senior researcher or Post-tenure academic,,No,,
10/13/2014 14:31:00,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,"I don't have a choice. At the University level, ""journals"" is what counts.",Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/13/2014 14:40:54,Yes,"POPL, OOPSLA",Yes,2-5,6-10,Required by department.,Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/13/2014 14:47:12,Yes,,Yes,2-5,1,tenure evaluation,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,1
10/13/2014 14:52:53,Yes,"POPL, ICFP, OOPSLA",Yes,0,0,,Yes,Student or Postdoc,Switzerland,Yes,,
10/13/2014 14:53:00,Yes,POPL,Yes,1,2-5,Requirement and prestigious,Yes,Student or Postdoc,USA,Yes,,1
10/13/2014 15:03:24,Undecided,POPL,No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 15:13:20,Yes,"POPL, OOPSLA",No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 15:13:49,Undecided,,No,0,0,,Yes,Student or Postdoc,Switzerland,Yes,,
10/13/2014 15:36:11,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,CV,Yes,Student or Postdoc,France,Yes,,1
10/13/2014 15:44:44,Undecided,,No,0,0,,Yes,Student or Postdoc,,Yes,,
10/13/2014 16:10:56,Yes,OOPSLA,Yes,0,11+,Revised material,Yes,Senior researcher or Post-tenure academic,Switzerland,Yes,,
10/13/2014 16:11:32,Yes,"POPL, ICFP, OOPSLA",Yes,0,0,,Yes,Student or Postdoc,,Yes,,
10/13/2014 16:15:19,Yes,"POPL, ICFP",Yes,0,2-5,,Yes,Senior researcher or Post-tenure academic,France,Yes,,
10/13/2014 16:15:20,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,Because my employer demands these types of publications,Don't care,Junior researcher or Pre-tenure academic,Chile,Yes,,1
10/13/2014 16:18:51,Yes,"POPL, ICFP, OOPSLA",Yes,0,6-10,expected to,Yes,Senior researcher or Post-tenure academic,UK,Yes,,1
10/13/2014 16:34:15,Yes,"POPL, OOPSLA",No,1,6-10,,Don't care,Senior researcher or Post-tenure academic,Germany,Yes,,
10/13/2014 16:36:14,No,,Yes,0,11+,"avoid space constraints, create archival versions",Don't care,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 16:45:43,Yes,"POPL, OOPSLA",Yes,2-5,11+,"In the Italian national research assessment, no paper at any conference was ranked at the top",Don't care,Senior researcher or Post-tenure academic,Italy,Yes,,1
10/13/2014 16:46:15,Yes,OOPSLA,Yes,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 16:48:52,Yes,"POPL, ICFP, OOPSLA",No,2-5,11+,"Avoiding artificial deadlines, long review times (see e.g. TACO 2.0 model), limited expertise in the PC, limited response options and randomness of the process, exagerate impact of English proficiency in conferences, exagerate ""fashion"" trends in conferences, immature publication culture leading to excessive travel and waste of energy (PC meetings)",Yes,Senior researcher or Post-tenure academic,France,Yes,,
10/13/2014 16:49:05,Undecided,OOPSLA,No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 16:52:06,Yes,"POPL, ICFP",No,0,0,,Yes,Student or Postdoc,USA,No,,
10/13/2014 17:17:16,Undecided,POPL,No,1,11+,"To publish more detailed accounts of my results than is possible in conferences (page limits, deadlines, etc)",Don't care,Senior researcher or Post-tenure academic,France,Yes,,
10/13/2014 17:21:09,Yes,"POPL, OOPSLA",Yes,1,0,,Yes,Student or Postdoc,,No,,
10/13/2014 17:23:04,Yes,"POPL, ICFP, OOPSLA",No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 17:34:56,Undecided,"POPL, ICFP, OOPSLA",Yes,0,11+,Better understanding of journal publications within my university. Increased opportunity to improve the work with the help of experts compared to the hit-or-miss conference reviewing process.,Yes,Senior researcher or Post-tenure academic,Australia,Yes,,1
10/13/2014 17:35:07,No,,No,1,2-5,higher quality and more objective reviews,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/13/2014 17:45:46,Undecided,,No,0,0,,Yes,Student or Postdoc,Germany,Yes,,
10/13/2014 18:03:39,Yes,POPL,Yes,1,0,,Yes,Junior researcher or Pre-tenure academic,Canada,Yes,,
10/13/2014 18:05:20,No,,No,1,2-5,The work is best presented in more that 10 pages or so,Don't care,Senior researcher or Post-tenure academic,UK,Yes,,
10/13/2014 18:10:38,Yes,"POPL, ICFP, OOPSLA",No,2-5,2-5,my department head told me it would be good for my tenure case,Yes,Senior researcher or Post-tenure academic,Switzerland,Yes,,1
10/13/2014 18:11:07,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,"For employment and promotions, colleges of engineering expect and value journal publications.",Don't care,Student or Postdoc,USA,Yes,,1
10/13/2014 18:15:41,No,,No,0,0,"I only submitted to conferences, where, IMHO, the focus is on innovation. Journals, on the other hand, seem more focused on making science accessible, so the two complement eachother very well. Thus, IMHO, there's no need to overlap them.",Yes,Student or Postdoc,Switzerland,Yes,,
10/13/2014 18:27:18,Yes,"POPL, ICFP, OOPSLA",No,2-5,11+,,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/13/2014 18:29:46,Yes,"POPL, ICFP",Yes,0,0,,Yes,Student or Postdoc,Colombia,Yes,,
10/13/2014 19:11:35,Undecided,POPL,No,6-10,11+,promotion,Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/13/2014 19:16:34,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,6-10,,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 19:19:24,Undecided,POPL,No,2-5,11+,To make a publication out of a more polished and complete version of work previously published in a conference.,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 19:36:32,Yes,POPL,No,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 19:54:33,No,,Yes,2-5,6-10,review quality,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 20:12:11,Yes,"POPL, ICFP, OOPSLA",Yes,1,1,Tenure requirements,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,1
10/13/2014 20:38:19,Yes,"POPL, ICFP, OOPSLA",Yes,0,6-10,more space,Yes,Senior researcher or Post-tenure academic,UK,Yes,,
10/13/2014 21:13:37,Yes,"POPL, ICFP, OOPSLA",Yes,1,6-10,,Don't care,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 21:21:02,Yes,"POPL, ICFP",Yes,1,2-5,Greater value to my employer,Yes,Student or Postdoc,Australia,Yes,,1
10/13/2014 21:28:44,Yes,"POPL, ICFP, OOPSLA",Yes,,0,,Yes,Student or Postdoc,Hong Kong,Yes,,
10/13/2014 21:29:41,Undecided,"POPL, ICFP, OOPSLA",No,2-5,6-10,"(1) longer in-depth paper (2) co-authors are academics and want journal publications.    Since you failed to provide a free-text form, here is my general feedback.  I am opposed to publishing a sub-set of SIGPLAN'",Don't care,Senior researcher or Post-tenure academic,USA,No,,1
10/13/2014 22:36:12,No,,No,1,2-5,,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/13/2014 22:46:51,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,2-5,,Yes,Senior researcher or Post-tenure academic,China,Yes,,
10/13/2014 23:11:45,Yes,"POPL, OOPSLA",Yes,0,2-5,,Yes,Junior researcher or Pre-tenure academic,Canada,Yes,,
10/13/2014 23:12:44,Yes,POPL,No,1,2-5,"My co-authors have to, because of academic bean counting.",Yes,Senior researcher or Post-tenure academic,USA,No,,1
10/13/2014 23:48:20,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,Balanced publication record,Yes,Senior researcher or Post-tenure academic,France,Yes,,1
10/14/2014 0:47:38,Yes,"POPL, OOPSLA",No,6-10,1,To finish up a conference paper with new insights or experiences that wouldn't fit in another publication. ,Yes,Senior researcher or Post-tenure academic,Usa,No,,
10/14/2014 2:22:43,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,long term visibility of the results,Yes,Senior researcher or Post-tenure academic,France,Yes,,
10/14/2014 2:37:58,Yes,,No,0,0,,Yes,Junior researcher or Pre-tenure academic,,No,,
10/14/2014 3:38:06,Undecided,POPL,Yes,0,2-5,Space,Yes,Junior researcher or Pre-tenure academic,Uk,Yes,,
