Timestamp,My registration number is (required to be eligible for raffle prize),I am primarily associated with,The technical quality of papers was high,The papers presented interesting material,The talks were well presented,The presented papers in my area of work were relevant,"Even with parallel sessions, I was able to attend most of the talks I was interested in",The number of papers accepted was,The length of POPL presentations (including questions) should be,What type of proceedings do you find most useful during the conference?,What type of proceedings do you find least useful during the conference?,Have you viewed any POPL  video online?,POPL should have a best presentation award,"In addition to the 10-year Most Influential Paper award, POPL should give out distinguished paper awards",I am a (co)-author of a paper accepted to POPL,I am a (co)-author of a POPL  submission,The reviews I received were thorough and fair,I was happy with the double blind reviewing process used for POPL ,The author rebuttal process used for POPL was,What did you like about the reviewing process used for POPL?,What did you dislike about the reviewing process used for POPL?,I would not be attending POPL if I were not also attending a co-located event,"If yes, which event(s)?",The location of POPL  played a role in my decision to attend,"Given a choice of an “interesting/higher cost” location or a “less interesting/lower cost” location, I would prefer:","Regardless of the location, I will not attend POPL if the nightly hotel costs are above","Regardless of location, I will not attend POPL if the early registration costs for POPL are above","If POPL were held in the Pacific Rim area (China, Korea, Japan, Australia, etc.) how would this affect your likelihood of attending?","If POPL were held in Israel, how would this affect your likelihood of attending?",Which week of January do you prefer to hold POPL?,Future POPLs should have more opportunities for socializing and fun,"Future POPLs should have an outing/social event, even if it increases the registration cost by $85",What other factors would increase the likelihood that you would attend future POPLs as a non-author?,What other factors would decrease the likelihood that you would attend future POPLs as a non-author?,I stayed at one of the conference hotels,The meals and break food met my needs,"The conference facilities (internet, location, etc.) met my needs",What did you like best about POPL '15?,What about POPL '15 were you most unhappy about?,Any comments on the facilities?,Is open access important to you?,"If open access required author processing fees, how much would you agree to pay?",Would you support publishing the proceedings of POPL as a special issue of TOPLAS?
1/19/2015 16:29:12,,student,4,4,2,3,4,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,5,3,no,no,,,,,,no,PLMW,5,less interesting/lower cost,$200,doesn't matter,3,1,week 3,2,2,,female unfriendly countries like India,yes,4,4,organisation of conference was very good,coach schedule was very confusing,breakfast only started 10 minutes before busses left,5,$100,No
1/19/2015 17:12:33,,student,1,1,2,1,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,1,1,no,no,,,,,,no,,1,interesting/higher cost,$150,$500,1,1,week 2,1,2,,,no,1,2,,,,5,$100,Yes
1/19/2015 17:51:00,,student,3,3,4,3,4,about right,30 minutes,hardcopy,USB stick,no,4,3,yes,yes,,,,,,no,,5,less interesting/lower cost,$200,$500,1,1,week 2,3,5,US venue,Venue outside US/Europe,no,3,3,,,TIFR was a fine venue.,5,$250,Yes
1/19/2015 17:57:20,,academia (non-student),4,5,4,4,5,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,4,1,no,no,,,,,,no,,3,less interesting/lower cost,$250,$600,1,2,week 2,3,3,,,no,2,2,,,,4,$250,Yes
1/19/2015 18:14:53,,student,3,2,4,2,2,about right,30 minutes,hardcopy,USB stick,yes,1,2,no,no,,,,,,yes,VMCAI,2,interesting/higher cost,doesn't matter,doesn't matter,4,2,week 3,1,1,,,yes,2,4,,,,5,$100,Yes
1/19/2015 18:21:00,,academia (non-student),2,2,2,,,about right,30 minutes,,,no,,,no,no,,,,,,yes,PEPM,3,,$200,,4,1,,,,,,yes,4,2,,hygiene of the city,,,,
1/19/2015 18:26:45,,student,2,2,2,1,1,about right,30 minutes,USB stick,hardcopy proceedings,no,3,1,yes,yes,,,,,,no,,4,less interesting/lower cost,doesn't matter,doesn't matter,2,2,week 3,3,3,,,yes,1,1,,,,5,$100,Yes
1/19/2015 18:43:21,,academia (non-student),1,1,2,1,2,about right,30 minutes,USB stick,hardcopy proceedings,no,2,2,no,no,,,,,,yes,vmcai,2,interesting/higher cost,$200,$600,2,2,week 3,3,2,"Relevant workshops.

If it happens that several papers that year are relevant to my research area. Something where the PC cannot make everyone happy.
",,yes,1,2,"Location: both city and site, program, food, attendees.","Minor:
unavailability of ""real"" coffee.
Some issues with the internet connection for the B track. ",Great site!,4,$100,Yes
1/19/2015 18:53:42,,academia (non-student),3,3,3,2,1,about right,30 minutes,USB stick,hardcopy proceedings,no,2,2,yes,yes,,,,,,no,,,less interesting/lower cost,$150,$500,4,4,week 2,1,2,Cost cost cost.,Cost cost cost.,yes,5,4,The location by the sea. ,"The meals were average. 
The banquet at the ITC was disappointing. ","The location was fabulous, but the facilities could have been revamped. The lunch table cloths were never cleaned or switched out, making it very unpleasant to reuse the tables. One of the parallel sessions was held in a disproportionately smaller room. ",5,$250,Yes
1/19/2015 19:04:44,,student,1,2,1,3,1,about right,15 minutes,download via internet during the conference,hardcopy proceedings,yes,1,1,no,yes,,,,,,no,,1,interesting/higher cost,$150,$500,3,4,week 2,1,5,,,no,1,1,The People.,Nothing at all.,,5,$100,Yes
1/19/2015 19:20:18,,academia (non-student),1,2,3,2,5,about right,30 minutes,hardcopy,USB stick,no,1,1,yes,yes,,,,,,no,,4,less interesting/lower cost,doesn't matter,$500,3,1,week 4,1,1,,,yes,1,2,"The location, the people and the papers, it was a fantastic conference!",The conference banquet was far from ideal. Also it was a bit difficult to get to understand Mumbai for an occidental.,TIFR did a great job!,5,$100,Yes
1/19/2015 19:34:06,,student,1,2,2,2,2,about right,30 minutes,USB stick,hardcopy proceedings,yes,3,2,no,yes,,,,,,yes,PEPM,4,less interesting/lower cost,$150,doesn't matter,2,3,,3,4,,,no,2,2,"I liked the meals at TIFR (workshop and POPL receptions). Food was good, atmosphere nice and plenty of opportunities to mingle.","The ""social event"". It was crowded and the atmosphere the whole evening not nearly as nice as the receptions at TIFR.",,5,$250,Yes
1/19/2015 19:56:19,,industry,2,2,2,1,1,about right,25 minutes,hardcopy,USB stick,no,5,2,yes,yes,,,,,,no,,4,interesting/higher cost,$200,doesn't matter,3,3,week 3,1,1,,,yes,3,4,"The quality of papers in verification, especially verified compilation.","The location of the conference within Mumbai, the packed schedule, and the poor quality of the conference hotels. I think we should have held the conference at a top-quality hotel, maybe farther north between Colaba and the airport (e.g. Hilton/Hyatt/whatever, or even in the hotel where we had the banquet), and to provide a one-day guided tour to Colaba and the TIFR.
",They are too far away from the hotels.,4,$100,Yes
1/19/2015 20:11:17,,student,2,2,3,2,4,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,2,2,yes,yes,,,,,,no,,4,interesting/higher cost,$300,$700,3,3,week 2,2,2,,,yes,2,2,,,,4,$100,Yes
1/19/2015 20:17:35,,academia (non-student),1,2,2,1,2,about right,30 minutes,download via internet during the conference,USB stick,yes,5,2,yes,yes,,,,,,no,,3,interesting/higher cost,$200,$500,3,3,week 3,1,5,Great invited talks,Papers on topics that are not interesting to me,yes,4,3,Sessions on program analysis; Remembering Radhia Cousot and Susan Horwitz,"Strict bus schedules for hotels <-> conference site
Site of banquet ",Need for better wifi connections,3,$100,Yes
1/19/2015 20:54:13,,student,1,1,1,1,3,about right,30 minutes,download via internet during the conference,USB stick,no,2,1,no,no,,,,,,no,,1,interesting/higher cost,doesn't matter,doesn't matter,2,1,week 2,3,2,"chances to get an idea on research area ,as there are experts available in area that is  relevant to me.","That is very much beneficial,,so just ignored the negatuve things.",yes,3,1,"I had asked to many of the experts in my area,,they are very much cooperative,,and given a lot of suggestions.",its fine.,I have faced a lot of problems in guest house.. ,5,$100,Yes
1/19/2015 21:44:57,,academia (non-student),1,2,2,1,2,about right,30 minutes,USB stick,download via internet during the conference,no,5,3,no,no,,,,,,no,,2,less interesting/lower cost,$200,$700,5,5,week 3,2,4,Industry presentation.,,yes,1,2,,,,3,,Yes
1/19/2015 23:21:52,,academia (non-student),2,3,3,1,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,2,no,no,,,,,,yes,CPP Coq,3,interesting/higher cost,$150,$500,3,1,week 2,2,1,,,no,1,2,,,,5,$100,Yes
1/20/2015 0:51:43,,student,2,1,2,1,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,1,1,no,no,,,,,,no,,2,less interesting/lower cost,$150,$500,4,1,week 3,4,3,,,no,2,2,Two papers on category theory - 1. signal graphs and 2. conjugate hylomorphism.,"could've managed better 

- banquete queue for drinks and food could've been avoided/managed better - hundreds standing in a queue? parallel queues or serving at table and collecting coupons at table etc could've been considered. organizer could've a word with hotel at the very least.
- food plate served inside the conference werent clean. two times, they were dusty.



",,5,$100,Yes
1/20/2015 1:25:16,,student,1,1,1,1,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,4,2,no,yes,,,,,,no,PLMW,5,interesting/higher cost,$200,$600,3,3,week 2,2,2,,,yes,2,2,"Shuttles to and from hotels, presentations were kept on-time, good separation of interests for the tracks which allowed me to attend (almost) every talk that I wanted to see.","Banquet could have been better organized.
I've talked to many people and almost everybody had a bad experience in the pre-booked taxi. The drivers could never find the hotels, even ones booked through the conference, and almost none spoke English.

Shuttles could have been run more often, allowing people to leave the conference more often than the designated times.

No announcements were made for the leaving of the shuttles.","Only allowed wifi on one device, boooo",5,$100,No
1/20/2015 5:19:33,,student,5,4,4,4,4,too few,30 minutes,download via internet during the conference,hardcopy proceedings,no,5,5,no,no,,,,,,no,,4,less interesting/lower cost,$250,$700,3,3,week 2,4,4,,,yes,1,1,"papers, people",,,3,$100,Yes
1/20/2015 8:18:54,,student,1,1,2,3,1,about right,30 minutes,USB stick,hardcopy proceedings,no,1,2,no,yes,,,,,,no,,1,less interesting/lower cost,$150,$500,4,1,week 3,2,3,"Low registration fee, availability of affordable accommodation",,yes,1,1,Chance to meet legends.,,,3,$100,Yes
1/20/2015 10:29:13,,student,2,2,2,2,2,about right,30 minutes,USB stick,hardcopy proceedings,no,2,2,no,no,,,,,,no,,1,less interesting/lower cost,doesn't matter,doesn't matter,4,1,week 2,1,3,,,no,2,2,,,,5,$100,Yes
1/20/2015 10:54:25,,academia (non-student),4,2,3,2,4,about right,30 minutes,download via internet during the conference,download via internet during the conference,no,3,5,no,no,,,,,,yes,PLMW,1,interesting/higher cost,$150,$500,3,3,week 3,1,1,,,yes,3,2,,,WiFi was unreliable,5,$250,Yes
1/20/2015 11:01:02,,student,1,2,2,1,2,too many,30 minutes,download via internet during the conference,USB stick,no,1,1,no,no,,,,,,no,,5,interesting/higher cost,doesn't matter,doesn't matter,3,1,week 2,1,3,great papers,,yes,2,2,,,,5,$100,Yes
1/20/2015 14:37:20,,student,2,3,3,3,2,about right,30 minutes,USB stick,hardcopy proceedings,no,2,2,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,3,2,week 3,4,4,,,no,1,1,,,,4,$100,Yes
1/20/2015 15:15:57,,student,1,3,3,3,2,about right,30 minutes,USB stick,download via internet during the conference,no,1,1,no,no,,,,,,yes,,5,less interesting/lower cost,$150,$500,3,1,week 2,1,1,,,yes,2,2,,,,5,$100,Yes
1/20/2015 15:50:32,,student,1,1,2,1,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,3,no,no,,,,,,no,,2,interesting/higher cost,$200,$700,3,2,week 3,2,2,"o Diverse and interesting co-located workshops
o Tutorials
o Networking events","o Lack of cheap accommodation (does not have to be an official conference hotel)
o Complicated VISA procedures
o If the number of co-located events decreased",yes,1,2,"o Location was very interesting.
o Submissions were of very high quality
o Tutorials
o PLMW",,In general great. Minor annoyances: A/C a bit too cold; wireless was unstable; projector in HBA was too dim/had low contrast,5,$100,Yes
1/20/2015 19:24:04,,academia (non-student),1,2,2,2,4,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,3,yes,yes,,,,,,no,,2,interesting/higher cost,$200,$500,2,1,week 2,1,2,,,yes,1,1,"* Diversity of the community. 

* High quality of papers and excellent attendees.

* Well organised. 

* Fascinating venue. 

* PLMW is an excellent initiative - I was very pleased to talk with a woman persuaded to do a CS PhD by participation at PLMW'13. ","* It's hard to absorb the large number of technical talks, and I get most out of discussion with the authors. I wonder whether there's something that could be done to make POPL talks support more discussion? Some kind of 'meet the authors' thing attached to each talk session? Uncertain, but this year I skipped a lot of talks and got a lot more out of POPL.

* Some sessions were scheduled poorly, eg. Concurrency vs Program Analysis. I accept this is a hard problem, but it's a shame to have to miss interesting sessions. 

* It seems unfortunate that people leave immediately after the final session - little opportunity to chat with the presenters from the final session. 
",,4,$500,Yes
1/20/2015 19:28:27,,academia (non-student),1,1,1,2,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,5,4,yes,yes,,,,,,no,,3,interesting/higher cost,doesn't matter,$700,3,4,week 3,2,2,,,yes,2,3,,,,4,$100,Yes
1/20/2015 20:03:11,,industry,2,2,3,2,4,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,1,no,no,,,,,,no,,1,less interesting/lower cost,doesn't matter,doesn't matter,5,3,week 3,2,4,,,yes,2,4,,,,5,$100,Yes
1/20/2015 22:01:00,,academia (non-student),2,2,2,1,3,about right,30 minutes,hardcopy,download via internet during the conference,yes,2,1,no,yes,,,,,,no,,5,interesting/higher cost,$250,doesn't matter,3,5,week 2,1,1,,,yes,3,4,"Nice location, great programme.",Horrible internet connection.,poor internet connection,3,$100,No
1/20/2015 22:35:20,,student,2,1,2,2,3,about right,30 minutes,USB stick,hardcopy proceedings,no,1,1,yes,yes,,,,,,no,,5,interesting/higher cost,$200,doesn't matter,3,5,week 2,2,3,,,yes,1,2,"I liked the many opportunities for networking and meetings outside sessions. The long coffee breaks (30 minutes) and long lunch break (90 minutes) made possible to discuss interesting research ideas with people and get to a technical level. I estimate the discussions I had will lead to future research cooperation, and it was the most important part of POPL for me.

Also, I attended PLMW, and it was very valuable for me. I think this workshop can be extended to 2 days.",I was very happy.,,5,$500,Yes
1/20/2015 22:44:49,,academia (non-student),1,1,2,1,2,about right,25 minutes,download via internet during the conference,hardcopy proceedings,no,2,3,yes,yes,,,,,,no,,3,less interesting/lower cost,$150,$500,1,3,week 3,3,5,,,yes,1,1,"the talks, the people",,,5,$100,
1/21/2015 1:14:04,,student,5,5,5,5,5,,20 minutes,download via internet during the conference,hardcopy proceedings,no,3,3,yes,yes,,,,,,no,,5,interesting/higher cost,doesn't matter,doesn't matter,3,1,week 3,1,4,Distance.  Closer is better.,Distance.  Farther is worse.,yes,4,3,The organizers did a fantastic job in preparing for the conference.  The organized taxis from the airport and the shuttles to and from the hotels were very helpful and well thought out.  And TIFR was a wonderful host.,"The location presented a variety of logistical challenges, most notably:

1. I forgot to get a typhoid vaccine booster, which made finding food in Mumbai stressful.

2. Getting around the city was difficult.  Most cabs didn't know where the Grand Hotel was.",,5,,
1/21/2015 10:05:02,,academia (non-student),1,2,1,3,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,3,5,no,yes,,,,,,no,,1,less interesting/lower cost,$200,$600,5,3,week 4,2,2,,,no,3,2,,,,3,,Yes
1/21/2015 12:36:39,,academia (non-student),1,2,1,1,3,about right,30 minutes,hardcopy,download via internet during the conference,no,1,1,no,no,,,,,,yes,PLMW,1,interesting/higher cost,$250,$600,5,1,week 4,1,1,More papers involving category theory than usual,Less papers involving category theory than usual,yes,1,2,The conference was very nicely organized.,The coffee was very bad.,None,5,$100,Yes
1/21/2015 13:15:44,,academia (non-student),2,2,1,2,,about right,30 minutes,USB stick,hardcopy proceedings,no,3,3,no,no,,,,,,no,,1,less interesting/lower cost,,,,,week 2,3,2,,,,2,2,,,,5,$250,Yes
1/21/2015 15:31:09,,student,2,2,4,4,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,4,no,no,,,,,,no,,4,less interesting/lower cost,$150,doesn't matter,3,2,week 4,2,3,,,yes,1,2,,,Internet connection was not very reliable.,5,$100,Yes
1/21/2015 15:33:18,,student,,3,3,,,,30 minutes,download via internet during the conference,,no,1,,no,no,,,,,,no,,1,interesting/higher cost,,,3,,,,,,,no,3,4,,,Would like proper chairs in places where you can charge laptops,,,
1/21/2015 15:51:05,,student,1,1,4,2,2,about right,30 minutes,USB stick,hardcopy proceedings,no,1,2,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,1,3,week 3,2,1,If POPL is organised in less costly countries like India etc.,If there are not enough opportunities to socialise with other researchers.,yes,1,3,The coverage of vast domains revolving around Programming Languages in the Publications.,The first two Keynotes looked more like Microsoft Advertisements.,,5,$100,Yes
1/21/2015 19:25:47,,academia (non-student),2,2,2,2,4,about right,30 minutes,USB stick,hardcopy proceedings,no,3,3,yes,yes,,,,,,no,,2,interesting/higher cost,$200,$500,3,5,week 3,1,1,,,yes,1,1,Beautiful campus in an extremely interesting city.,,,5,$250,No
1/21/2015 23:23:21,,student,1,1,2,1,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,1,no,no,,,,,,yes,PLMW,3,less interesting/lower cost,$200,$500,2,5,week 2,3,4,If it were in the USA especially on the East Coast or in Israel. ,,yes,4,3,"I thought it was as well organized as it could possibly be for being in India. I really liked staying at the Vivanta by Taj hotel and liked the buses to the venue, which was very pretty. Having more meals than usual provided was also nice. ","I think having POPL in India complicated a lot of things especially for female attendees. Because the conference was not a hotel I could have stayed at, I was at the venue for almost 12 hours every day because I did not feel safe talking a cab there/back on my own. There was an additional hassle in coordinating travel to make sure that I was  not arriving/departing the country on my own. I also had adverse reactions to the vaccinations recommended by the CDC. On another specific note, I didn't think the banquet venue made sense -- the food was very similar to other meals and the drive there was over an hour. ",Some of the allergens in food were mislabeled. ,3,$100,Yes
1/22/2015 9:48:07,,student,2,2,2,2,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,3,3,yes,yes,,,,,,no,,2,interesting/higher cost,$200,$500,3,1,week 3,2,2,,"worse quality of the city, higher crime rate of the city, inconvenience of the city",yes,3,3,,the city and a little evil people,The stay of the hotel and the city not comfortable.,3,$100,No
1/22/2015 19:54:19,,student,1,1,1,1,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,4,2,yes,yes,,,,,,no,,5,interesting/higher cost,$300,$700,3,2,week 3,3,2,,,yes,2,3,,,,5,$100,Yes
1/23/2015 20:30:40,,academia (non-student),1,2,2,3,1,too few,30 minutes,download via internet during the conference,USB stick,no,1,1,no,yes,,,,,,yes,PEPM,2,less interesting/lower cost,$150,$600,2,3,week 3,3,4,,,no,1,2,"Nice locations, great food, many dinners together for better socializing.","The illnesses I contracted there. I am lying in a bed as I write. But that is not due to POPL. 

When it comes to POPL, it took a bit long before the idea of filter coffee and snacks around coffee time to come through. I was surpised to see this change in the end, thinking things were like that for a reason. But of course, less snacking is also better for ones health.
","Nice, and pretty relaxed, but the smaller rooms were a bit musty which did not help my coughing problems",4,$100,Yes
1/23/2015 23:33:17,,student,1,1,1,1,1,about right,15 minutes,download via internet during the conference,download via internet during the conference,no,1,1,no,no,,,,,,no,,1,interesting/higher cost,doesn't matter,doesn't matter,5,3,week 2,1,1,,,yes,1,1,,,,5,$100,Yes
1/24/2015 2:27:52,,student,2,2,2,2,1,about right,25 minutes,USB stick,hardcopy proceedings,no,1,1,no,no,,,,,,yes,PLMW,5,less interesting/lower cost,$150,$500,3,1,week 3,2,3,,,yes,2,2,,the surroundings - Mumbai,,5,$100,Yes
1/25/2015 16:08:52,,academia (non-student),1,1,2,1,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,1,1,no,yes,,,,,,no,,3,interesting/higher cost,doesn't matter,doesn't matter,3,3,week 4,3,2,,,yes,2,2,,,,5,$100,Yes
1/26/2015 13:29:19,,academia (non-student),1,1,2,1,2,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,3,3,no,yes,,,,,,yes,"POPL tutorials, CoqPL",1,interesting/higher cost,$250,$600,,2,,1,3,"doing it in Europe, especially the warm southern part",,no,1,1,"POPL was great, as always.
This time the location was amazing.","1. The format of the POPL tutorials was extremely bad. 1.5 hours is enough for a long talk, not for a hands on tutorial that teaches someone to use a new tool or a new programming language. With this format the extremely full of impact ""How to write your next POPL paper in Coq"" tutorial (http://www.cis.upenn.edu/~plclub/popl08-tutorial/) at POPL 2008 would have never happened. Half a day is a minimum for a hands-on tutorial; in some cases a full day is necessary. So, at the very least, please allow the people who propose tutorials to specify how much time they need, and don't try to squeeze everyone into 1.5 hours.

2. The whole conference was too geographically dispersed. With very many hotels that were far from TIFR and from each other it was very hard to just hang around with other POPL participants, spontenously arrange dinner plans, etc.","The organizers did an amazing job. They installed 4 wifi routers in the large lecture hall one day before the tutorials, so that the participants in our tutorial could use a web interface.",5,$250,